layer,channel,ablation_delta,log_alpha
conv_layers.6,62,0.0038828784599900246,2.0726823806762695
conv_layers.6,76,-0.0055077834986150265,2.0798866748809814
conv_layers.6,86,0.006727494299411774,2.081216335296631
conv_layers.6,93,0.0008933926001191139,2.074709177017212
conv_layers.6,96,0.006291820667684078,2.0755417346954346
conv_layers.6,100,0.014657343737781048,2.0636274814605713
conv_layers.6,107,0.0070541370660066605,2.0780036449432373
conv_layers.6,110,0.002021028660237789,2.0341293811798096
conv_layers.6,112,0.005072765052318573,2.073399543762207
conv_layers.6,117,0.010346886701881886,2.074981689453125
conv_layers.6,126,0.005311422515660524,2.090130090713501
conv_layers.6,127,0.008375504054129124,2.043959140777588
conv_layers.6,128,0.004769463092088699,2.0914862155914307
conv_layers.6,130,0.009794645011425018,2.085763931274414
conv_layers.6,140,0.004571618977934122,2.079807996749878
conv_layers.6,142,0.003083139657974243,2.061923027038574
conv_layers.6,151,0.0052336473017930984,2.0675740242004395
conv_layers.6,153,-7.60834664106369e-05,2.097482204437256
conv_layers.6,159,-0.0012764520943164825,2.0781617164611816
conv_layers.6,160,0.008260040543973446,2.0853428840637207
conv_layers.6,162,0.004115710034966469,2.0918846130371094
conv_layers.6,164,0.011505715548992157,2.0613644123077393
conv_layers.6,169,-0.008676774799823761,2.0579793453216553
conv_layers.6,171,-0.002456948161125183,2.0743651390075684
conv_layers.6,173,0.011257829144597054,2.041090250015259
conv_layers.6,174,-0.0006047235801815987,2.0804731845855713
conv_layers.6,178,0.004803868010640144,2.0737485885620117
conv_layers.6,179,0.0017104614526033401,2.074859857559204
conv_layers.6,180,0.0016261273995041847,2.067129373550415
conv_layers.6,183,0.013178380206227303,2.087127208709717
conv_layers.6,186,-0.00415971502661705,2.084073305130005
conv_layers.6,187,0.00479474849998951,2.076293706893921
conv_layers.6,195,0.004962471313774586,2.0813400745391846
conv_layers.6,198,0.006094616837799549,2.095327615737915
conv_layers.6,201,-0.010337907820940018,2.0831410884857178
conv_layers.6,202,0.005986173637211323,2.077984571456909
conv_layers.6,204,0.001333688385784626,2.092644214630127
conv_layers.6,209,0.00030068401247262955,2.0675737857818604
conv_layers.6,211,0.0064534470438957214,2.0731353759765625
conv_layers.6,216,0.005441009998321533,2.0773797035217285
conv_layers.6,221,0.007162458263337612,2.0642483234405518
conv_layers.6,222,0.009097287431359291,2.0573201179504395
conv_layers.6,238,0.010823157615959644,2.0758912563323975
conv_layers.6,242,0.008660836145281792,2.0852103233337402
conv_layers.6,243,0.0019912049174308777,2.081559896469116
conv_layers.6,244,0.008707616478204727,2.0687859058380127
conv_layers.6,245,0.005777234211564064,2.076658248901367
conv_layers.6,251,0.0002883998677134514,2.0864827632904053
conv_layers.6,253,0.005730879493057728,2.0836310386657715
conv_layers.6,254,0.0023246705532073975,2.085310220718384
conv_layers.7,10,-0.0013689808547496796,2.115798234939575
conv_layers.7,25,0.0005937814712524414,2.129641056060791
conv_layers.7,27,0.00550917349755764,2.1263976097106934
conv_layers.7,34,0.0009757177904248238,2.125692129135132
conv_layers.7,38,0.0018735872581601143,2.140313148498535
conv_layers.7,40,-0.0006881654262542725,2.1358587741851807
conv_layers.7,64,0.004250847734510899,2.1430325508117676
conv_layers.7,74,0.0002924976870417595,2.1351139545440674
conv_layers.7,83,0.001078655943274498,2.1184160709381104
conv_layers.7,85,-0.0011948104947805405,2.125526189804077
conv_layers.7,116,0.002744646742939949,2.106536388397217
conv_layers.7,118,0.00034737400710582733,2.1397387981414795
conv_layers.7,119,0.0015823673456907272,2.098597764968872
conv_layers.7,126,0.0045392997562885284,2.1283304691314697
conv_layers.7,130,-6.363075226545334e-05,2.109732151031494
conv_layers.7,136,0.011663427576422691,2.1295342445373535
conv_layers.7,138,-0.0005391603335738182,2.132338047027588
conv_layers.7,141,0.0020956741645932198,2.1067326068878174
conv_layers.7,146,0.0041183969005942345,2.1182360649108887
conv_layers.7,152,0.0017341803759336472,2.1204183101654053
conv_layers.7,158,0.0012999428436160088,2.1271445751190186
conv_layers.7,172,0.00048673059791326523,2.123110294342041
conv_layers.7,184,-0.0016940813511610031,2.1263108253479004
conv_layers.7,185,0.0020856070332229137,2.121567726135254
conv_layers.7,217,0.0017045289278030396,2.1100926399230957
conv_layers.7,228,0.002295638434588909,2.135652542114258
conv_layers.7,249,0.0003220941871404648,2.117347002029419
conv_layers.7,250,-0.0009540598839521408,2.122713565826416
conv_layers.7,254,0.001440713182091713,2.1174261569976807
conv_layers.7,262,0.007179385982453823,2.120356559753418
conv_layers.7,268,0.0030386457219719887,2.120906352996826
conv_layers.7,271,0.0027313525788486004,2.0636727809906006
conv_layers.7,295,0.0014621037989854813,2.119907855987549
conv_layers.7,311,0.0005598291754722595,2.129934549331665
conv_layers.7,334,0.0017226357012987137,2.1297359466552734
conv_layers.7,341,0.0009355852380394936,2.1349704265594482
conv_layers.7,342,0.002225678414106369,2.1242949962615967
conv_layers.7,368,0.00193098746240139,2.1271681785583496
conv_layers.7,370,0.0015165619552135468,2.1357991695404053
conv_layers.7,373,0.0013595223426818848,2.1184468269348145
conv_layers.7,381,-0.0019340403378009796,2.124126434326172
conv_layers.7,383,-0.005164202302694321,2.139866352081299
conv_layers.7,385,0.0009970543906092644,2.1357648372650146
conv_layers.7,398,-0.0009804395958781242,2.1359059810638428
conv_layers.7,403,-0.0028311912901699543,2.1319243907928467
conv_layers.7,406,0.0027851713821291924,2.1376705169677734
conv_layers.7,408,0.004394369665533304,2.135544776916504
conv_layers.7,409,-0.0010062968358397484,2.1207876205444336
conv_layers.7,424,0.0009606452658772469,2.1354386806488037
