layer,channel,ablation_delta,log_alpha
stage1.1.conv1,63,0.0020889551378786564,1.9905273914337158
stage2.0.conv1,0,-0.0058044446632266045,2.043488025665283
stage2.0.conv1,2,-0.009283196181058884,2.0391337871551514
stage2.0.conv1,8,-0.0038501115050166845,2.0403244495391846
stage2.0.conv1,10,-0.012712444178760052,2.0328996181488037
stage2.0.conv1,11,-0.005147663876414299,2.0204834938049316
stage2.0.conv1,12,-0.01142562460154295,2.0563435554504395
stage2.0.conv1,13,-0.008441600017249584,2.004469871520996
stage2.0.conv1,14,-0.005654251668602228,2.025789976119995
stage2.0.conv1,15,-0.01176645327359438,2.021090507507324
stage2.0.conv1,18,0.00023744386271573603,2.027067184448242
stage2.0.conv1,22,-0.007971773855388165,2.057591438293457
stage2.0.conv1,23,-0.0009229825809597969,2.0143394470214844
stage2.0.conv1,25,-0.0015403887955471873,2.0475845336914062
stage2.0.conv1,26,-0.0009615682065486908,2.0599441528320312
stage2.0.conv1,30,-0.008546224795281887,2.0020573139190674
stage2.0.conv1,31,-0.011599842458963394,2.0276851654052734
stage2.0.conv1,32,-0.010058050975203514,2.0711543560028076
stage2.0.conv1,33,-0.003997810650616884,2.0464131832122803
stage2.0.conv1,35,-0.009677188470959663,2.0106968879699707
stage2.0.conv1,36,-0.005277610383927822,2.0372872352600098
stage2.0.conv1,37,-0.0003494810953270644,2.060077428817749
stage2.0.conv1,38,0.0058637442998588085,1.9897289276123047
stage2.0.conv1,39,-0.009222676046192646,2.0402913093566895
stage2.0.conv1,40,-0.0035040401853621006,2.009298086166382
stage2.0.conv1,41,-0.007559146266430616,2.0277187824249268
stage2.0.conv1,44,-0.012768737971782684,2.0298967361450195
stage2.0.conv1,45,-0.006954617332667112,2.039285898208618
stage2.0.conv1,47,-0.0058546122163534164,2.0044641494750977
stage2.0.conv1,48,-0.004185070749372244,2.03415846824646
stage2.0.conv1,51,-0.00014063052367419004,2.031358003616333
stage2.0.conv1,52,-0.001314377412199974,2.0344300270080566
stage2.0.conv1,53,-0.006733223330229521,2.040799379348755
stage2.0.conv1,63,-0.010375117883086205,2.0491042137145996
stage2.0.conv1,65,-0.005577512551099062,2.0724568367004395
stage2.0.conv1,66,-0.006107335910201073,2.044750452041626
stage2.0.conv1,67,0.0005961128626950085,2.060034990310669
stage2.0.conv1,68,-0.003043446922674775,2.0055041313171387
stage2.0.conv1,69,0.0035651077050715685,2.028193473815918
stage2.0.conv1,71,0.008084123954176903,2.013359785079956
stage2.0.conv1,72,-0.007181623950600624,2.08010196685791
stage2.0.conv1,74,0.00028699039830826223,2.018808364868164
stage2.0.conv1,77,-0.007403567899018526,2.0421078205108643
stage2.0.conv1,79,-0.001077193534001708,2.0581777095794678
stage2.0.conv1,84,-0.00622001476585865,2.010627269744873
stage2.0.conv1,92,-0.007860617712140083,2.029855728149414
stage2.0.conv1,94,-0.003907835576683283,2.0303497314453125
stage2.0.conv1,98,-0.011606872081756592,2.024404764175415
stage2.0.conv1,99,-0.008904640562832355,2.016024351119995
stage2.0.conv1,101,-0.011883526109158993,2.0556280612945557
stage2.0.conv1,104,-0.011629075743258,2.0089709758758545
stage2.0.conv1,105,-0.008662299253046513,2.063927173614502
stage2.0.conv1,107,-0.011742113158106804,2.0258522033691406
stage2.0.conv1,109,-0.004845993593335152,2.0619592666625977
stage2.0.conv1,110,-0.009160504676401615,2.044400453567505
stage2.0.conv1,114,-0.006270082667469978,2.001641035079956
stage2.0.conv1,115,-0.010508977808058262,2.0398333072662354
stage2.0.conv1,116,-0.0019699300173670053,2.0546953678131104
stage2.0.conv1,118,-0.01313964743167162,2.016221523284912
stage2.0.conv1,120,-0.011143800802528858,2.0489284992218018
stage2.0.conv1,121,-0.005454909522086382,2.0242362022399902
stage2.0.conv1,123,-0.00901386421173811,1.9845763444900513
stage2.0.conv1,125,-0.009816352277994156,2.0082850456237793
stage2.0.conv1,126,-0.007928824052214622,2.0400125980377197
stage2.0.conv1,127,0.011141452938318253,2.0436835289001465
stage2.1.conv1,1,-0.0019402948673814535,1.9527595043182373
stage2.1.conv1,3,0.0027045172173529863,1.919964075088501
stage2.1.conv1,4,-0.005847606807947159,1.918365240097046
stage2.1.conv1,5,-0.0060195475816726685,1.9447101354599
stage2.1.conv1,6,-0.008112662471830845,1.962012529373169
stage2.1.conv1,8,-0.0023161182180047035,1.9561082124710083
stage2.1.conv1,9,-0.0038479429204016924,1.9241124391555786
stage2.1.conv1,11,0.00039218447636812925,1.8923978805541992
stage2.1.conv1,16,-0.00874402280896902,1.9322099685668945
stage2.1.conv1,18,-0.0016062285285443068,1.9365116357803345
stage2.1.conv1,20,-0.010140419006347656,1.923350214958191
stage2.1.conv1,21,-0.007007599342614412,1.9668292999267578
stage2.1.conv1,27,-0.01156854722648859,1.896103024482727
stage2.1.conv1,29,-0.0009051887900568545,1.9536281824111938
stage2.1.conv1,31,-0.002386432373896241,1.9242169857025146
stage2.1.conv1,32,-0.008190350607037544,1.8845211267471313
stage2.1.conv1,33,-0.011069269850850105,1.884321928024292
stage2.1.conv1,34,-0.009985935874283314,1.924049735069275
stage2.1.conv1,36,-0.012162783183157444,1.9225953817367554
stage2.1.conv1,38,-0.0020944722928106785,1.9278039932250977
stage2.1.conv1,39,-0.009481829591095448,1.915783405303955
stage2.1.conv1,42,0.001113681006245315,1.916617751121521
stage2.1.conv1,43,-0.007016009651124477,1.9817609786987305
stage2.1.conv1,44,0.0029224397148936987,1.8868826627731323
stage2.1.conv1,45,-0.010877425782382488,1.8876229524612427
stage2.1.conv1,48,0.0008211865788325667,1.9232836961746216
stage2.1.conv1,51,-0.004273861180990934,1.8960909843444824
stage2.1.conv1,54,-0.007452324964106083,1.9095221757888794
stage2.1.conv1,56,-0.004808405879884958,1.949339747428894
stage2.1.conv1,57,-0.005115301813930273,1.9503257274627686
stage2.1.conv1,58,-0.0008256995351985097,1.8738349676132202
stage2.1.conv1,59,-0.0019331166986376047,1.9239251613616943
stage2.1.conv1,61,-0.006698986515402794,1.9210431575775146
stage2.1.conv1,62,0.00036805495619773865,1.8725425004959106
stage2.1.conv1,64,0.0029429651331156492,1.8559738397598267
stage2.1.conv1,67,0.0019287222530692816,1.8749324083328247
stage2.1.conv1,69,-0.00824707467108965,1.8953561782836914
stage2.1.conv1,70,-0.006846015341579914,1.982274055480957
stage2.1.conv1,71,-0.007495885714888573,1.979985237121582
stage2.1.conv1,74,-0.006454325746744871,1.9599287509918213
stage2.1.conv1,79,-0.003584300633519888,1.956718921661377
stage2.1.conv1,80,-0.006217136047780514,1.9289993047714233
stage2.1.conv1,82,-0.007635772228240967,1.8791202306747437
stage2.1.conv1,84,0.001009017345495522,1.916545033454895
stage2.1.conv1,88,-0.010989162139594555,1.8995866775512695
stage2.1.conv1,90,-0.009676304645836353,1.8495469093322754
stage2.1.conv1,92,-0.0012511028908193111,1.9380466938018799
stage2.1.conv1,93,-0.005310750566422939,1.9363043308258057
stage2.1.conv1,94,-0.0027084595058113337,1.8684831857681274
stage2.1.conv1,95,-0.004743122961372137,1.9101868867874146
stage2.1.conv1,98,-0.005801863968372345,1.9334261417388916
stage2.1.conv1,100,0.0005439583910629153,1.8738393783569336
stage2.1.conv1,102,-0.004308161325752735,1.9535419940948486
stage2.1.conv1,105,-0.011394662782549858,1.9287649393081665
stage2.1.conv1,106,0.0013845927314832807,1.9307048320770264
stage2.1.conv1,108,-0.007419911678880453,1.8869988918304443
stage2.1.conv1,109,-0.00030635317671112716,1.9046504497528076
stage2.1.conv1,112,-0.005316755268722773,1.9132661819458008
stage2.1.conv1,113,0.0002938972902484238,1.9705978631973267
stage2.1.conv1,116,-0.006109274458140135,1.9186809062957764
stage2.1.conv1,120,0.002506864257156849,1.8976255655288696
stage2.1.conv1,121,-0.01222049817442894,1.888444185256958
stage2.1.conv1,122,-0.005431892815977335,1.9158300161361694
stage2.1.conv1,125,-0.011501643806695938,1.9189692735671997
stage3.0.conv1,5,-0.003397181164473295,2.009537696838379
stage3.0.conv1,6,-0.004138359799981117,1.955246925354004
stage3.0.conv1,12,-0.005669523496180773,1.985170841217041
stage3.0.conv1,18,-0.00275752623565495,1.9773645401000977
stage3.0.conv1,19,-0.00417083827778697,2.0038902759552
stage3.0.conv1,27,-0.002942220540717244,1.9779852628707886
stage3.0.conv1,29,-0.001601170632056892,1.9980711936950684
stage3.0.conv1,30,-0.010557476431131363,1.979816198348999
stage3.0.conv1,31,-0.005412458907812834,2.011549234390259
stage3.0.conv1,34,0.0007141657988540828,1.9896893501281738
stage3.0.conv1,35,-0.0020319735631346703,1.953140377998352
stage3.0.conv1,37,-0.008349481038749218,2.015120506286621
stage3.0.conv1,38,-0.0008691301918588579,2.014000654220581
stage3.0.conv1,41,-0.008317563682794571,2.0020949840545654
stage3.0.conv1,43,-0.0009764126152731478,1.9351534843444824
stage3.0.conv1,49,-0.002191628562286496,2.0087852478027344
stage3.0.conv1,53,-0.0008059372194111347,2.031418561935425
